SERIES,TS,Y,FORECAST,LOWER_BOUND,UPPER_BOUND,IS_ANOMALY,PERCENTILE,DISTANCE
,2017-02-05 04:00:00.000,16,131.694553608,-282.849684436,546.238791652,false,0.2361060481,-0.7188844859
,2017-02-05 05:00:00.000,24,86.251466564,-328.29277148,500.795704608,false,0.3494490663,-0.3868082995
,2017-02-05 06:00:00.000,15,120.653896136,-293.890341909,535.19813418,false,0.2557527005,-0.6564954394
,2017-02-05 07:00:00.000,15,117.964518515,-296.579719529,532.508756559,false,0.2611563194,-0.6397846108
,2017-02-05 08:00:00.000,7,91.31809397,-323.226144074,505.862332015,false,0.3001662528,-0.5239224125
,2017-02-05 09:00:00.000,6,154.828570354,-259.715667691,569.372808398,false,0.1775434586,-0.9247673892
,2017-02-05 10:00:00.000,6,192.025062041,-222.519176004,606.569300085,false,0.1238624517,-1.155893056
,2017-02-05 11:00:00.000,3,153.460689289,-261.083548755,568.004927333,false,0.1749176531,-0.9349087912
,2017-02-05 12:00:00.000,3,173.857719146,-240.686518898,588.40195719,false,0.1441976155,-1.061648624
,2017-02-05 13:00:00.000,5,162.73711172,-251.807126324,577.281349764,false,0.163512982,-0.980121872
,2017-02-05 14:00:00.000,8,86.23186981,-328.312368234,500.776107855,false,0.313446433,-0.4861047971
,2017-02-05 15:00:00.000,7,94.468804231,-320.075433814,509.013042275,false,0.2933928654,-0.5434997967
,2017-02-05 16:00:00.000,12,118.042356707,-296.501881338,532.586594751,false,0.2549770407,-0.6589091941
,2017-02-05 17:00:00.000,18,122.634427857,-291.909810187,537.178665901,false,0.2577941702,-0.6501608289
,2017-02-05 18:00:00.000,19,143.455370181,-271.088867864,557.999608225,false,0.2196661976,-0.7733210598
,2017-02-05 19:00:00.000,9,120.726375247,-293.817862798,535.270613291,false,0.2437697282,-0.6942276479
,2017-02-05 20:00:00.000,6,63.394994084,-351.14924396,477.939232128,false,0.3606836889,-0.3566319202
,2017-02-05 21:00:00.000,10,165.307828,-249.236410044,579.852066045,false,0.1672656007,-0.9650271737
,2017-02-05 22:00:00.000,6,125.707895549,-288.836342495,540.252133594,false,0.2284920982,-0.7438219541
,2017-02-05 23:00:00.000,5,80.640652518,-333.903585526,495.184890562,false,0.319176115,-0.4700039017
,2017-02-06 00:00:00.000,9,58.17551282,-356.368725224,472.719750865,false,0.379970217,-0.3055590099
,2017-02-06 01:00:00.000,9,63.765860326,-350.778377719,478.31009837,false,0.3668170309,-0.3402954255
,2017-02-06 02:00:00.000,5,51.618478357,-362.925759687,466.162716401,false,0.3860341579,-0.2896705143
,2017-02-06 03:00:00.000,5,57.881294035,-356.66294401,472.425532079,false,0.3712345402,-0.3285854061
,2017-02-06 04:00:00.000,3,50.988541125,-363.555696919,465.53277917,false,0.3827815216,-0.2981835933
,2017-02-06 05:00:00.000,8,60.743395776,-353.800842268,475.28763382,false,0.3715584552,-0.3277285557
,2017-02-06 06:00:00.000,5,49.264066217,-365.280171827,463.808304262,false,0.3916423537,-0.2750410412
,2017-02-06 07:00:00.000,4,39.447858211,-375.096379834,453.992096255,false,0.4128342244,-0.2202602848
,2017-02-06 08:00:00.000,3,55.317636806,-359.226601239,469.86187485,false,0.3725591115,-0.3250830421
,2017-02-06 09:00:00.000,3,46.815449406,-367.728788638,461.35968745,false,0.392713555,-0.2722534971
,2017-02-06 10:00:00.000,3,48.213459536,-366.330778508,462.757697581,false,0.3893781214,-0.280940231
,2017-02-06 11:00:00.000,3,51.292375668,-363.251862377,465.836613712,false,0.3820613042,-0.3000715122
,2017-02-06 12:00:00.000,4,52.997170642,-361.547067402,467.541408686,false,0.3803922141,-0.3044508555
,2017-02-06 13:00:00.000,6,36.37540987,-378.168828174,450.919647914,false,0.4251475516,-0.188741909
,2017-02-06 14:00:00.000,6,34.581683254,-379.96255479,449.125921298,false,0.4295200016,-0.1775963348
,2017-02-06 15:00:00.000,8,66.641801859,-347.902436185,481.186039904,false,0.3577874563,-0.3643791368
,2017-02-06 16:00:00.000,8,31.655292074,-382.888945971,446.199530118,false,0.4415717304,-0.1469855058
,2017-02-06 17:00:00.000,3,35.501317527,-379.042920517,450.045555572,false,0.4199773056,-0.2019515372
,2017-02-06 18:00:00.000,13,37.063400399,-377.480837646,451.607638443,false,0.440571134,-0.1495213447
,2017-02-06 19:00:00.000,16,7.420162034,-407.124076011,421.964400078,false,0.5212583554,0.05331203772
,2017-02-06 20:00:00.000,25,3.243059964,-411.30117808,417.787298008,false,0.5537691048,0.1351898267
,2017-02-06 21:00:00.000,31,14.547396241,-399.996841803,429.091634285,false,0.5407131732,0.1022305824
,2017-02-06 22:00:00.000,41,39.869163757,-374.675074288,454.413401801,false,0.5028031892,0.007026611072
,2017-02-06 23:00:00.000,46,39.874455082,-374.669782963,454.418693126,false,0.5151808518,0.03806194045
,2017-02-07 00:00:00.000,56,54.043143158,-360.501094886,468.587381202,false,0.5048507022,0.01215920699
,2017-02-07 01:00:00.000,72,73.52852568,-341.015712364,488.072763724,false,0.4962110186,-0.009497710682
,2017-02-07 02:00:00.000,63,73.964743592,-340.579494453,488.508981636,false,0.472840682,-0.06813098641
,2017-02-07 03:00:00.000,61,55.929842386,-358.614395658,470.47408043,false,0.5125662555,0.03150414204
,2017-02-07 04:00:00.000,60,51.622236808,-362.922001237,466.166474852,false,0.5207581302,0.0520564175
,2017-02-07 05:00:00.000,70,41.345910266,-373.198327778,455.890148311,false,0.5706566703,0.1780462427
,2017-02-07 06:00:00.000,68,47.080371987,-367.463866057,461.624610031,false,0.5517116717,0.1299870699
